Organization Name,Main Category,Subcategories,Membership Duration
Google Developer Groups (GDG) on Campus at George Mason University,Registered Student Organizations,"STEM, Computer/Technology",Lifetime
Google Developer Groups (GDG) on Campus George Mason University,Campus-Wide Organizations,"STEM, Computer/Technology",Lifetime
Government Contracting Club,Registered Student Organizations,"Academic, Special Interest, Campus Spirit",Lifetime
Graduate and Professional Student Association (GAPSA),Campus-Wide Organizations,Graduate Student Organization,Lifetime
Graduate Association for Bioengineering Students,Registered Student Organizations,"STEM, Health/Wellness, Graduate Student Organization",Lifetime
Graduate Association of Civil & Environmental Engineers at George Mason University,Registered Student Organizations,"Academic, STEM, Graduate Student Organization, Department",Lifetime
Graduate Nursing Organization,Registered Student Organizations,"Academic, Graduate Student Organization",Ends at Graduation
Graduate Student Life,University Life,Department,Lifetime
Graduate Students for Public Health,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Green Hornets at Mason Korea,Registered Student Organizations at Mason Korea,"Sports, Mason Korea Campus",Lifetime
Green Machine,University Life,"Academic, Performing/Visual Arts, Department, Campus Spirit, University Life",Lifetime
Groove Theory A Cappella,Registered Student Organizations,Performing/Visual Arts,Lifetime
HackOverflow,Registered Student Organizations,"Academic, STEM, Computer/Technology",Lifetime
Hammer & Fantasy at Mason Korea,Registered Student Organizations at Mason Korea,"Special Interest, Mason Korea Campus",Lifetime
Harmony Circle,Registered Student Organizations,"International/Multicultural, Religious/Spiritual",Lifetime
Health & Fitness Expo,University Life,"Special Interest, Health/Wellness, Fairfax Campus",Lifetime
Health and Physical Education,Academic Departments,Academic,Lifetime
Health Peer Educator Program,Campus-Wide Organizations,Health/Wellness,Lifetime
Health Professions Advising,Academic Departments,"Academic, Special Interest, Health/Wellness, Department",Lifetime
Hearts For Humanity,Registered Student Organizations,"Religious/Spiritual, Volunteer/Service",Lifetime
Helping Hands,Registered Student Organizations,Volunteer/Service,Lifetime
Henna for a Cause,Registered Student Organizations,"International/Multicultural, Volunteer/Service, Special Interest, Political/Activist",Lifetime
Her Campus at George Mason University,Registered Student Organizations,Special Interest,Ends at Graduation
High Power Rocketry at George Mason University,Registered Student Organizations,"STEM, Computer/Technology",Lifetime
Higher Education Program,Academic Departments,"Academic, Department",Lifetime
Hillel,Registered Student Organizations,Religious/Spiritual,Lifetime
Hindu Student Association,Registered Student Organizations,"International/Multicultural, Religious/Spiritual, Special Interest",Lifetime
Hispanic Culture Review,Student Media,"Performing/Visual Arts, Media and Communications",Lifetime
